power (W),Integral
0.011457767359171108,44.437999963760376
0.011452492077078878,44.75
0.011449855346901882,45.078999996185303
0.011447219223784541,45.391000032424927
0.011452492077078878,45.719000101089478
0.01145512941445535,46.062999963760376
0.01145512941445535,46.391000032424927
0.011452492077078878,46.719000101089478
0.011447219223784541,47.046999931335449
0.01144458370758711,47.375
0.011441948798169854,47.703999996185303
0.011441948798169854,48.046999931335449
0.011439314495393055,48.375
0.011436680799117065,48.703999996185303
0.011431415225508978,49.032000064849854
0.011431415225508978,49.359999895095825
0.011431415225508978,49.687999963760376
0.011428783347897712,50.016000032424927
0.011426152076228886,50.344000101089478
0.011426152076228886,50.671999931335449
0.011423521410363008,51.0
0.011420891350160606,51.328999996185303
